;edit_history_tweet_ids;id;text;withheld;intent
0;['1622384573312290816'];1622384573312290816;RT @adnanmig: In 1976, Sylvester Stallone and Carl Weathers choreographed a fight scene for the movie Rocky, and a video of their work has…;;movie
1;['1622384573056155650'];1622384573056155648;RT @Zigmanfreud: @DEADLINE Alternative Headline: Pro-Pedophilia  Propagandist, Pissed that Not ONE New Michael Jackson Accuser Came Forward…;;movie
2;['1622384572976566272'];1622384572976566272;RT @JAMNPP: Okay I legitimately need somebody to explain to me how this 1937 movie achieved this special effect because HOLY SHIT! https://…;;movie
3;['1622384572653608966'];1622384572653608960;@NotAFootGuy1 @thatbloodyMikey @JackHancock1983 Two kids and a middle age actor. Its pretty grim and was entirely avoidable - I'm listening to Behind the Bastards | Part One: The Twilight Zone Movie on Podbean, check it out! https://t.co/WJUX5GBgnb;;movie
4;['1622384571991093249'];1622384571991093248;RT @box_oficeIndian: #Pathaan is the No.1 highest grossing movie in the world of 2023 by collecting $95.11M worldwide. (Non China);;movie
5;['1622384568849367040'];1622384568849367040;The Eclipse movie would be a thousand times better if they made Edward Cullen look like he did in Twilight;;movie
6;['1622384568665006081'];1622384568665006080;@GemKing69 @NIGHTSH1FT3R63 @DavidMo26948097 @JasonplayzDERBX @JolicVeljko @2_gaming76 That was like a movie karate kids 🥋🤨;;movie
7;['1622384566903111680'];1622384566903111680;why would you add a short movie to a music video category? @RecordingAcad https://t.co/oadIUTpmUo;;movie
8;['1622384566316007426'];1622384566316007424;RT @Robert_Townsend: This was my first movie, I was such a baby! The two lines that changed my life, and the film that shifted my destiny.;;movie
9;['1622384563556155394'];1622384563556155392;RT @Slakonbothsides: Ludacris' career is strange, he's a talented rapper, he's had a successful rap and movie career, he's been on songs wi…;;movie
10;['1622384563354832896'];1622384563354832896;@officialDannyT Love all your kick ass movie and video game roles!;;movie
11;['1622384562503385090'];1622384562503385088;"RT @offbeatkiki: NEW VIDEO!

Pick It Up: Puss In Boots and The Will to Live

An exploration of what made this movie such a success, a story…";;movie
12;['1622384561630879744'];1622384561630879744;RT @akiiame: I know this was meant to point out how generic the poster looks or whatever, but it made me realize and appreciate that in all…;;movie
13;['1622384560641122310'];1622384560641122304;@GODSENTKITA Paprika is kind of an lsd trip with incredible cinematography, it has greatly inspired inception, paranoia agent is kind of a weird futuristic movie and millennium actress is deffo gonna make u at least emotional, it's about chasing a love (won't say anything more about it);;movie
14;['1622384560632643585'];1622384560632643584;@OsamaBinLesbian Correct dumb movie. Hate that blue guy;;movie
15;['1622384558548058112'];1622384558548058112;"RT @digimeng: I made a modern Super Mario 64 cover in style of theatrical poster of the upcoming movie.

#SuperMarioBrosMovie #supermario64…";;movie
16;['1622384558384488450'];1622384558384488448;@mark_wootten Go to the movie!;;movie
17;['1622384555998220288'];1622384555998220288;When I Watched the movie “nope” I had an epiphany.;;movie
18;['1622384555989602304'];1622384555989602304;@dnossoup Movie was too relatable 😭💀;;movie
19;['1622384553661808647'];1622384553661808640;"“It’ll be fine. Your wolf side will kick in and it’ll heal, Harls.” She nodded, reaching for the remote. 

“Want to watch something? There’s a new movie.” https://t.co/m6HaL1WPyA";;movie
20;['1622384552076271617'];1622384552076271616;"RT @Forbes: ""Looking at the slate, it's interesting what they're doing and it's also predictable. It's smart.""

Rob LaFranco, assistant man…";;movie
21;['1622384551468355584'];1622384551468355584;"RT @renbubbly: [ 230205 ]🦊💭

as you listen to this song, just like the movie, have a heart fluttering dream! if you’re eating late night sn…";;movie
22;['1622384551392874502'];1622384551392874496;RT @PerretiLeboy: A Great Hollywood Debut!!! #lizasoberano. I bet you this will be a great movie!!!! 💯💯👏💯;;movie
23;['1622384551350648832'];1622384551350648832;RT @dickdastardli: Matthew Lillard and Josh Hutcherson trying to study the FNAF lore for the movie https://t.co/uGxswJuBMn;;movie
24;['1622384547659763712'];1622384547659763712;This man(@Quackity) is sick but screams like in horro movie https://t.co/PXyIf4wxvn;;movie
25;['1622384547387015168'];1622384547387015168;"RT @thebtschart: ""Yet To Come In Cinemas"" ($9.12M) is now @BTS_twt's highest-grossing concert movie at domestic box-office, passing ""Permis…";;movie
26;['1622384546946891778'];1622384546946891776;"RT @feedarchive: 230205 🦊💬 UPDATE 

“recently i’ve been wanting to rewatch that movie called your name, that’s why i’m going to watch it. t…";;movie
27;['1622384545117913088'];1622384545117913088;"RT @brand_lukk: I hope that this is how he learns not to fall asleep watching a movie 😏📺🎞
New Discount 🤗5️⃣0️⃣% OFF join now 😏 https://t.co…";;movie
28;['1622384542584643585'];1622384542584643584;RT @7anfei: guys do u know this movie https://t.co/CS6h93b2pH;;movie
29;['1622384540454109185'];1622384540454109184;"RT @thebtschart: ""Yet To Come In Cinemas"" ($9.12M) is now @BTS_twt's highest-grossing concert movie at domestic box-office, passing ""Permis…";;movie
30;['1622384536804884482'];1622384536804884480;RT @RealTrapdos: @evanfong @kita_yt Ice tea, Smirnoff ice, vanilla ice cream, chocolate ice cream, strawberry ice cream, an ice cream sandw…;;movie
31;['1622384535785578496'];1622384535785578496;"RT @Allison61565845: #movie #guardiansofthegalaxy #BlackFriday #GOTGgame #InternationalRaccoonAppreciationDay 
Original: GOTGTheGame https:…";;movie
32;['1622384535446093825'];1622384535446093824;shrek 2 is d best shrek movie;;movie
33;['1622384533013413888'];1622384533013413888;"RT @renbubbly: [ 230205 ]🦊💭

“lately i feel like rewatching that one movie &lt;Your Name&gt; so i’m planning to watch that! the OST are especiall…";;movie
34;['1622384532014899200'];1622384532014899200;"Powerful, complex movie, ""The Art of Silence"" - about #MarcelMarceau, and how some of his experience during the #Holocaust helped shape his work
Review: Silence Is Indeed Golden - POV Magazine https://t.co/SDXVhiRRnC Thanks @SousaMendesFdn for screening and discussion";;movie
35;['1622384531918520325'];1622384531918520320;@BHeretovent @txadel_ I agree with you. I liked the movie but they made it seem like they had this amazing relationship where they understood each other so well etc. but spent little to no time building their relationship. A chemistry test was defos needed. I felt that his charm saved the movie.;;movie
36;['1622384528361676802'];1622384528361676800;RT @i_yogesh22: Oh Man, Oh Man, Video Of the Month is Here, Megastar #SalmanKhan and Khiladi #AkshayKumar Dancing on Recent Chartbuster #Ma…;;movie
37;['1622384526986035200'];1622384526986035200;@YoliswaSimelane Summary.. I usually get all i watch except for that blue movie.... especially the part where he moves to the otherside permanently... what will happen to his body this side as a human;;movie
38;['1622384525589241859'];1622384525589241856;RT @qbpd_: This fen's costume never appeared in bpwk. However, they hadn't dropped this design out of the movie, it became inspiration of s…;;movie
39;['1622384525539000320'];1622384525539000320;Not even 5 mins into this Tubi movie and I’m annoyed lmao this shit so ghetto, they hire anybody 😂😂😂😂;;movie
40;['1622384524746260480'];1622384524746260480;@kuraine this is the same reason why i think they specifically chose THOSE games like.... those are basically just movie soundtracks or things that non-gamers would have already heard of :/;;movie
41;['1622384523844505602'];1622384523844505600;RT @Robert_Townsend: This was my first movie, I was such a baby! The two lines that changed my life, and the film that shifted my destiny.;;movie
42;['1622384522166951936'];1622384522166951936;RT @AlanRMacLeod: If Chinese, Iranian or North Korean movie stars publicly visited torture camps for clout, we'd see it as a shocking indic…;;movie
43;['1622384521160151043'];1622384521160151040;@lemonade_grrrl tell him it's the strangest movie you've ever seen. make him decide if it's stranger than doctor strangelove;;movie
44;['1622384520682143746'];1622384520682143744;Chanyeol’s favorite movie is School of Rock;;movie
45;['1622384520556060672'];1622384520556060672;RT @ekowmclean: In 2018 I acted for the first time in the movie “Sugar, Spice and Sauce.” My character was Aboagye and all I can say is tha…;;movie
46;['1622384519742455808'];1622384519742455808;@midgetmoxie @bales1181 @hungry87 @krazykeithrules @VaderJaws @fredforthemets @ithrah69 @ihateclaims @filmizon @FilmsQuirky No movie or series for me. It was #AmericanExpress commercials for me.;;movie
47;['1622384517448192002'];1622384517448192000;@IslandBeal @lets_tripp24 @FilthyMouthGamr @AngryJoeShow Younger people consume more tv/movie media and they identify as LGBT at much higher rates than older people who don't consume as much of that media. Hence you will see more representation in entertainment geared towards those age groups. https://t.co/UBCQuETodn;;movie
48;['1622384517423026178'];1622384517423026176;RT @Slakonbothsides: Ludacris' career is strange, he's a talented rapper, he's had a successful rap and movie career, he's been on songs wi…;;movie
49;['1622384514294255616'];1622384514294255616;RT @dirarvindh: Announcement regarding my next movie in next few days 😊;;movie
50;['1622384512708517895'];1622384512708517888;RT @etxinfiltrator: Fuck hands of time when is everyone gonna realize the ninjago movie was actually good https://t.co/mROiaNabfU;;movie
51;['1622384511609700354'];1622384511609700352;"RT @ShinsouBlue: Saw Sword Art Online Progressive: Aria of a Starless Night!
And now I'm ready to watch the next Progressive movie! https:/…";;movie
52;['1622384508845654016'];1622384508845654016;I feel like at this point, the only way the movie's ever gonna release is if Mappa's plans to adapt F!re P#nch never follows through and they release IceAdo as a last resort to recover from that 💀💀💀;;movie
53;['1622384504127070209'];1622384504127070208;@gooderdle I really like that movie where he's not starring.;;movie
54;['1622384503665614848'];1622384503665614848;"I really dislike Sandra Bullock because off “The Blindside” but lawd, she is is some of my favorite movies.

Two Weeks Notice just came on my television. 
This is an excellent movie. 
She and Hugh Grant were wonderful together.";;movie
55;['1622384503116431360'];1622384503116431360;"RT @naveeeennnnnnnn: #WriterPadmabhushan is a feel-good🎥that should be watched along with your parents.

Thx to @sharatwhat @anuragmayreddy…";;movie
56;['1622384502835236864'];1622384502835236864;"RT @jhean_boorgees: I was going to watch a movie and my friend had an idea… I don’t know if the uber driver realized what we were doing

Fu…";;movie
