;edit_history_tweet_ids;id;text;intent
0;['1622746963740397568'];1622746963740397568;RT @elijahwood: The movie theater is and always has been a sacred democratic space for all and this new initiative by @AMCTheatres would es…;movie
1;['1622746960888311813'];1622746960888311808;RT @Kemdizzle_: The MPAA has a rule that if a movie has at least 400 instances of swearing, it automatically gets an NC-17 rating. As a way…;movie
2;['1622746960280141824'];1622746960280141824;"RT @JohnFugelsang: I'm celebrating Ronald Reagan's birthday by demonizing both Hollywood &amp; government 
while *also* 
worshiping a dead movi…";movie
3;['1622746960271736832'];1622746960271736832;Ok this movie Sick on Peacock has had me jumpin since it came on 🤣smh;movie
4;['1622746959747448832'];1622746959747448832;"RT @BrunoTurboTV: Hot movie with TopDaddyBear 
More than half hour of fist fucking and cum in my hole

Watch now on my
https://t.co/IstKjTv…";movie
5;['1622746958359154690'];1622746958359154688;RT @elijahwood: The movie theater is and always has been a sacred democratic space for all and this new initiative by @AMCTheatres would es…;movie
6;['1622746957520199681'];1622746957520199680;"RT @mrbigcockxxx: WOW! 🔥😍 New real wild &amp; rough Sex Video 😈 Sooo fucking hot!! 💦💦
.
.
🔥Full Movie On👇🏻
https://t.co/AU8d4d6Byv
.
.
(🎥 3000+…";movie
7;['1622746957293981698'];1622746957293981696;RT @krystalsarchive: 150717 W Korea Making Movie https://t.co/IeziE2So9F;movie
8;['1622746957113352192'];1622746957113352192;"RT @debaters_mass: 2nd round of the I DID NOT MAKE THESE RANKINGS PODCAST NETWORK top 40 movies Tournament. What is the better movie:
FORRE…";movie
9;['1622746956773695491'];1622746956773695488;"RT @Nik01371539: 44 YEARS OF TERRORS (Full Movie)
In this 40 min documentary, I will review over a hundred documented cases that prove IRGC…";movie
10;['1622746953846239237'];1622746953846239232;RT @AlanRMacLeod: If Chinese, Iranian or North Korean movie stars publicly visited torture camps for clout, we'd see it as a shocking indic…;movie
11;['1622746953586180097'];1622746953586180096;"RT @sdOe1Gn7SUyOdRY: jumper
#ℝ𝕦𝕞𝕒
https://t.co/ex30VXeScD";movie
12;['1622746950889259008'];1622746950889259008;"RT @SayUncleNetwork: Don't miss one hell of a ride with @chiwirensfw and @JonasMatt4. 🚗 #SayUncle #DickRides

https://t.co/sGx9N5HNq9 https…";movie
13;['1622746950750568450'];1622746950750568448;RT @davidcinema: What is the best silent movie you've ever seen? https://t.co/0faAh3LFrq;movie
14;['1622746947483213827'];1622746947483213824;RT @FalconNights: the fire emblem fates opening movie did not need to go so hard https://t.co/Hx136i5gnC;movie
15;['1622746946539495425'];1622746946539495424;"RT @MarvelStudios: An Avenger returns. A conqueror reigns. 

On February 17, experience Marvel Studios’ #AntManAndTheWaspQuantumania in 3D,…";movie
16;['1622746944471973888'];1622746944471973888;"Saying ""no thanks I have a girlfriend"" anytime a movie shows a sex scene";movie
17;['1622746941145726977'];1622746941145726976;@jeremyzorek Netflix has gone too far in promoting the Noah Baumbach White Noise movie.;movie
18;['1622746939292028929'];1622746939292028928;@bestofluis @_el__toro I thought the movie was good;movie
19;['1622746937937039360'];1622746937937039360;The reason why I wouldn't call myself a movie critic is because I really don't wanna be categorized with the pretentiousness that so many people display when you go see screeners. Everyone is so annoyed at something that fans would be happy to experience;movie
20;['1622746935382745089'];1622746935382745088;RT @cell_0801: Ma and Pa Kent teach Clark to be a good person. That is the entire point of him being found by a kindly rural couple. To tea…;movie
21;['1622746933008760834'];1622746933008760832;"44 YEARS OF TERRORS (Full Movie)
In this 40 min documentary, I will review over a hundred documented cases that prove IRGC committed or provided support for assassinations, hijacking, bombing, kidnapping, espionage, surveillance of people &amp; many others worldwide.
#IRGCterrorists https://t.co/5ec2m1vHr5";movie
22;['1622746931129892864'];1622746931129892864;Amadeus is probably my top 1 movie of all time;movie
