;edit_history_tweet_ids;id;text;intent
0;['1631081883680509954'];1631081883680509952;"RT @THVsVin: Taehyung is the most popular k-pop idol in Indonesia :
Christmas Tree charted 227 Days on Spotify Indonesia (17.7M total strea…";music
1;['1631081883084759050'];1631081883084759040;RT @stanyarxh: yall got it all wrong!! it's all of you people that haven't given a listen to her solo music because it is a thousand times…;music
2;['1631081882329726976'];1631081882329726976;RT @LouisVuitton: #jhope for #LouisVuitton. The Maison is pleased to announce that the world-renowned rapper-singer-songwriter, and music p…;music
3;['1631081881314664448'];1631081881314664448;bro phil collins goes kinda crazy.. michael bolton too i’m gonna start fw white people music heavy #catchup;music
4;['1631081880467456009'];1631081880467456000;RT @billboardskz: #StrayKids joins BTS as the only K-pop acts in Billboard history to top US and Japan main album charts multiple times (mu…;music
5;['1631081880341577729'];1631081880341577728;"RT @billboard: Tune in NOW for the #BBWomenInMusic Pre-Show presented by @Nationwide hosted by the one and only @TRINArockstarr. 💎 #ad

Wat…";music
6;['1631081879599448064'];1631081879599448064;@Doctor_of_Music @TristanSnell Pardon me, did I miss the repeal of the First Amendment?  I didn’t think the word accurate was in it.;music
7;['1631081879213592576'];1631081879213592576;Music makes every day better, especially if you fucking turn it up loud enough to drown out all the people around you.;music
8;['1631081879033249792'];1631081879033249792;"RT @cocozwrld: she adds:

“ i love her ability to make good music without using ghost writers. her talent can’t be replicated” https://t.co…";music
9;['1631081878924001280'];1631081878924001280;RT @miley_archive: Miley Cyrus, “Slide Away” music video (2019) https://t.co/tbEGwM0BUc;music
10;['1631081878521360384'];1631081878521360384;"RT @twentyonepilots: Josh and I were asked to fill a slot on five festivals in South America and one in Mexico. 
Not many things could brin…";music
11;['1631081878454255617'];1631081878454255616;"@gracebaldridge @unclearmag When I was catching my partner up on your music, I walked him through what I called your ""eras"". I call this one your Aaron Carter era 🤣";music
12;['1631081877707583489'];1631081877707583488;"RT @PopBase: A production member tells Rolling Stone what Sam Levinson’s direction for ‘The Idol’ was like:

 “It was like any r*pe fantasy…";music
13;['1631081877523054595'];1631081877523054592;RT @bestofpugh: florence pugh in the ‘midnight’ music video https://t.co/UTW0esJa6A;music
14;['1631081877300985857'];1631081877300985856;RT @imtimgagnon: Ok y'all, thanks for tolerating me through #MWE this month... if you're at all interested in me doing my Music Thing witho…;music
15;['1631081876226965505'];1631081876226965504;"RT @PizzaTowerFact: Pizza Crawler was a once planned, short-lived side-game for Pizza Tower.

Gustavo would play the role of main character…";music
16;['1631081875505823745'];1631081875505823744;"RT @Luf3Lufe: Riot Music Universe Ezreal 

#fanart #Ezreal #LeagueOfLegendsFanArt https://t.co/oYvzUWxNa4";music
17;['1631081875036045312'];1631081875036045312;"The Reggae Hour 141 with music from @bobmarley, @Kabakapyramid, The Crucialites &amp; more hosted by DJ Naphtali https://t.co/YC9c7L6ruo";music
18;['1631081874708652032'];1631081874708652032;"RT @Beautiful_Nubia: ""From the sublime, rousing 'A Le Tente' to the majestic, elevating 'Victory Parade', Beautiful Nubia's OLUMUYIWA hits…";music
19;['1631081874054316034'];1631081874054316032;alice needs to make music;music
