;edit_history_tweet_ids;id;text;withheld;intent
0;['1631444272527335426'];1631444272527335424;RT @zaralarsson: Meghans music have always been sounding like this tho, fun and catchy. She didn’t create this for TikTok, TikTok was creat…;;music
1;['1631444271684517889'];1631444271684517888;"RT @JYPETWICE: TWICE &amp; Billboard

Twice Performing 'MOONLIGHT SUNRISE' at Billboard's Women in Music | Billboard Women in Music 2023

https…";;music
2;['1631444270602153986'];1631444270602153984;@StephenAstral @Portob_Express @BlackCartBand @StormCrowsBand @The_Future_Us @CarhartMusic @JC_MILLER_Music @KateStantonSing @AngieKuskeMusic @EduanisZ Thank you @StephenAstral ,i appreciate the S/O 🤠👀👍❤️;;music
3;['1631444268928647173'];1631444268928647168;@francisscumm @sza queen of music would never js https://t.co/hPO1GWxFRW;;music
4;['1631444268660269056'];1631444268660269056;"RT @esbranza: @BIGHIT_MUSIC PLEASE TELL HOBA THAT IM SO COMPLETELY UP MY HEAD PROUD OF HIM AND I CANNOT WAIT FOR “ON THE STREET”

 https://…";;music
5;['1631444268496859136'];1631444268496859136;RT @LouisVuitton: #jhope for #LouisVuitton. The Maison is pleased to announce that the world-renowned rapper-singer-songwriter, and music p…;;music
6;['1631444268316524544'];1631444268316524544;"Go listen to “Forever With You”, “Praying For Happiness”, &amp; “Think Too Much” on all streaming platforms! 🖤🔪☠️⚰️ 

#music #independentartist #juicewrld #lilpeep #artist #emo https://t.co/y4dX4FBre9";;music
7;['1631444267745923072'];1631444267745923072;"RT @PopBase: New music out tonight:

Nicki Minaj — Red Ruby Da Sleeze 🎵
J-Hope x J. Cole — on the street 🎵
Miley Cyrus — Flowers (Demo) 🎵
D…";;music
8;['1631444266563010561'];1631444266563010560;"RT @billboard: .@JYPETWICE backstage at #BBWomenInMusic 💥 

Tune in here: https://t.co/G1tcQRH5i3 https://t.co/0beecBO8uO";;music
9;['1631444265568985090'];1631444265568985088;"2023-03-03 07:59:56
🤨😅😝💋😍
Wall interesting child voice analysis policy themselves music.
#暴露前阻断 #hiv阻断药 https://t.co/FsD49JKfA0";;music
10;['1631444265560850438'];1631444265560850432;"RT @BLINKVotingPage: 📻iHEARTRADIO AWARDS 2022📻

 🔊BLINKs lets get a win🏆! Vote 50 times on Twitter and the Website! 
RT = 1 VOTE
REPLY= 1 V…";;music
11;['1631444264868519938'];1631444264868519936;"RT @PopMatters: Madonna Unveiled Her Pop Masterpiece 'Ray of Light' 25 Years Ago

@Madonna and dance music are unfairly underrated and dism…";;music
12;['1631444264701005824'];1631444264701005824;"RT @TeamWangIntlFan: #JacksonWang Music Videos “Come Alive” &amp; “Cruel” received 4 awards for Best Virtual Production under music video and C…";;music
13;['1631444264084287488'];1631444264084287488;RT @deitytsukki: 3racha making music https://t.co/9BQtV105l8;;music
