;edit_history_tweet_ids;id;text;withheld;intent
0;['1630357105331912707'];1630357105331912704;@PGHSports4Life @TerraFeesh @ThePoniExpress The fact that you said Power 5 and not 6 shows you don’t know jack about the sport. I thought the only thing that matters is winning. Why are you backtracking? Also, I’m sure that you remember the old Big East and how it was way better than other power conferences a lot of years;;sport
1;['1630357099015274498'];1630357099015274496;"Some battlers would definitely do well to listen to the ""this sport is based off the supporters"" part. 

As long as it isn't unnecessarily disrespectful, people talking about your work is exactly what you want.. including those that think you lost. https://t.co/fn31Rs8FuE";;sport
2;['1630357082783248384'];1630357082783248384;"Imagine having the easiest victory of the season in the palm of your hand while you're in a title fight and still bottling it up like it's nothing.

If Max ever does that, I'll be sure he's finished, a gross mistake like that would never be forgiven.

But you know, that's sport. https://t.co/158XYKG5mU https://t.co/1k9iK2zrGI";;sport
3;['1630357082456363009'];1630357082456363008;"RT @tangyugeges: After sport🤣
https://t.co/Ev9DucDGAh https://t.co/Bu2sU0OqX5";;sport
4;['1630357077326430208'];1630357077326430208;RT @effeminato: Honestly one of my biggest turn ons is watching straight Men getting really angry over a sport;;sport
5;['1630357072524050438'];1630357072524050432;@IanCopeland5 Young athletes required to be COVID vaxed to continue participating in their sport are dropping dead.;;sport
6;['1630357070766563331'];1630357070766563328;RT @RyanSilapan: Game story from last Friday's 2A Region III quarterfinal matchup between No. 20 Beckville and No. 7 Douglass. The Bearcats…;;sport
7;['1630357069852446721'];1630357069852446720;"RT @JoshLBarnett: From RINGS, Battlarts, PRIDE, Hustle, ONE FC, &amp; more all over the world, this man has seen it all &amp; now will be coming to…";;sport
8;['1630357066224226304'];1630357066224226304;Lionel Messi: Argentina forward wins Best Fifa men's player of the year award ⁦@TeamMessi⁩ ⁦@FIFAcom⁩ #GOAT 🐐⚽️ https://t.co/GajZ9eVJ73;;sport
9;['1630357054404583424'];1630357054404583424;"RT @raphousetv2: Gervonta Davis Speaks On Fans Praising Jake Paul For Making $30 Million &amp; Losing🥊👀 “Sport filled w D**k riders!” https://t…";;sport
