;edit_history_tweet_ids;id;text;intent
0;['1629994719684993025'];1629994719684993024;Fans go mad as Chisora hangs with Ronaldo and Mike Tyson at Paul vs Fury https://t.co/OoHfhY5N0i;sport
1;['1629994714421252097'];1629994714421252096;"Our face-to-face clean sport workshops promote the values of clean sport and provide essential information to athletes and support staff. They’re free, delivered by experienced athlete educators and can be tailored to any audience or level.

Find more at: https://t.co/Ivaz36htET https://t.co/Dz7hh2SNPl";sport
2;['1629994710243880960'];1629994710243880960;RT @killmesIime: Baseball hilarious bc in no other sport can you have 2 top 5 players and be ass;sport
3;['1629994705898307585'];1629994705898307584;RT @Biggies_MaIIs: To everyone who has paid £19.95 to watch Paul v Fury on BT Sport Box Office :;sport
4;['1629994703058874370'];1629994703058874368;Sport motivation  https://t.co/ccoafAUcNq;sport
5;['1629994694892560386'];1629994694892560384;RT @TheAthletic: BT Sport has set up a joint venture with Warner Bros Discovery. From next season, BT Sport will be rebranded TNT Sports;sport
6;['1629994692464070656'];1629994692464070656;Oh yeah, I forgot an American reporter was murdered in the Middle East for his beliefs while attending a global event for the sport he loved. https://t.co/uFmgFmOYpK;sport
7;['1629994691704832000'];1629994691704832000;"P.J. Washington Doubtful To Play Monday

https://t.co/lKIGUf5ptH";sport
8;['1629994690278727681'];1629994690278727680;BMW X6M 40D 352 HP 2022  M POWER SPORT #shorts #bmw #hobby https://t.co/ErUhHfuxP3 via @YouTube;sport
9;['1629994690186543105'];1629994690186543104;"Isaiah Stewart Questionable To Play Versus Hornets

https://t.co/7ynnslOZ1N";sport
10;['1629994684767510528'];1629994684767510528;@BBCSport This isn’t sport;sport
11;['1629994677817552897'];1629994677817552896;"@bam_pnw @troycoverdale @marvinfreeman84 I do not realize the emotional response this could have on a no hitter, no. Since games are objects incapable of having feelings

As for the EFFECT it could have... we'll see, won't we? Sports change all the time. And meat-heads complain all the time. And yet, the sport endures";sport
12;['1629994667528929290'];1629994667528929280;@CharleyWTF1 That’s still 7 years 😂that’s as long as max has been in the sport 😂;sport
13;['1629994658116845573'];1629994658116845568;@AnfieldEdition @DailyStar_Sport Tap the South American market, get players young and cheaper, why do we have to pay millions of £ everytime???;sport
14;['1629994654312660992'];1629994654312660992;RT @tolly_t: I’m so happy Tommy won, because I didn’t NOT want to hear it from you lot tomorrow. GO TOMMY GO SPORT https://t.co/lqVvPSdoAo;sport
15;['1629994651091337219'];1629994651091337216;@hammerdaveyboi @trboxing @tommytntfury @MostVpromotions What happened to this sport? Lol?;sport
16;['1629994650239918082'];1629994650239918080;@DrezyPicks Boxing has always been a rigged sport. All sports are now. I go way back to sweet pea whitaker beating the shit out of chavez, then fight was called a draw. I lost total respect since then;sport
17;['1629994648209858561'];1629994648209858560;RT @UtdDefence: Football is a cruel sport.Times when you earn it but don't get what you deserve.When we went deep into comps in his first 2…;sport
18;['1629994635379585024'];1629994635379585024;RT @Tgarratt10: What I will say is though Jake is a master salesman/promoter so bringing up shit he said before the fight to try and mock h…;sport
19;['1629994623405027328'];1629994623405027328;Self-admitted ‘old man’ Azizul @AzizulAWANG  thrilled to get his mojo back https://t.co/J67bxQ3Mdc;sport
20;['1629994615070928896'];1629994615070928896;@VeFlyy @GeniosGI @arner_frank @PHLEaglesNation casuals will be casuals. team sport, guess he doesn’t understand that Jalen Hurts doesn’t play defense lol.;sport
21;['1629994614089195520'];1629994614089195520;@judybattista Before he became coach, in one of his interviews, Sean Payton offered that the NFL is the only sport where officials are not Full-Time .. and, that they should be .. Full Time Employees of the League 🖤;sport
22;['1629994606388736001'];1629994606388736000;"@Tam_Khan @TKMMAFIT Akhi This sport is halal or Haram

Or you are a Hadith's rejector";sport
23;['1629994600709382149'];1629994600709382144;WIT Virtual Voices: The Sustainable Development Goals and Sport - https://t.co/qhQxXuP0MB;sport
24;['1629994590601203712'];1629994590601203712;RT @scotsunsport: Rangers fans blasted by ex-Hibs star for chanting 'bile' during minute's tribute to late Easter Road chairman Ron Gordon…;sport
25;['1629994563463938049'];1629994563463938048;Very cool that the most talented driver in the sport is also pissed at his former employer and is about to go absolutely berzerk this season;sport
26;['1629994560523780097'];1629994560523780096;Looking to travel with a team? Improve your ultimate skills? Try a new sport? Have fun outside this summer? 👇 @NLESDCA @NL_ULTIMATE https://t.co/Uqpr0k9uLB;sport
27;['1629994556212015106'];1629994556212015104;Day started discovering I’d reviewed a Eurovision act and ended nailing a boxing prediction despite knowing nothing about the sport. Not a normal Sunday.;sport
28;['1629994554404360192'];1629994554404360192;@NickAdamsinUSA @RogerJStoneJr Sport coat to hooters 🤣🤣;sport
29;['1629994540764471301'];1629994540764471296;"@matt_williams_2 @UImmI92 @MichaelBensonn Boxing has been dying long before these fighters… 

Mayweather killed the sport and he didn’t even mean to do it";sport
30;['1629994539308990470'];1629994539308990464;"RT @KCooperHinton: Now that Ruby's mobile without me going to extreme manual labor lengths, we're going to ""walk"" out to the other side of…";sport
31;['1629994534569496578'];1629994534569496576;RT @WatchrF: Heya sport , it is Singlet Sunday ! https://t.co/Lkrvs6xcRJ;sport
32;['1629994519868616704'];1629994519868616704;RT @DamuYork: Man hate to say it’s part of the game dam near any sport I just hope everyone stay healthy;sport
